service_id,date,exception_type,exception_note,schedule_type
63895,20170129,1,FINAL,SU
63921,20170129,1,FINAL,SU
64034,20170129,1,PRODUCTION,SU
63955,20170129,1,Schedule #105,SU
63917,20170130,1,FINAL,WD
63898,20170130,1,FINAL,WD
63893,20170130,1,FINAL,WD
63919,20170130,1,FINAL,WD
63896,20170130,1,FINAL,WD
63897,20170130,1,FINAL,WD
64032,20170130,1,PRODUCTION,WD
63953,20170130,1,Schedule #105,WD
63917,20170131,1,FINAL,WD
63898,20170131,1,FINAL,WD
63893,20170131,1,FINAL,WD
63919,20170131,1,FINAL,WD
63896,20170131,1,FINAL,WD
63897,20170131,1,FINAL,WD
64032,20170131,1,PRODUCTION,WD
63953,20170131,1,Schedule #105,WD
63917,20170201,1,FINAL,WD
63898,20170201,1,FINAL,WD
63893,20170201,1,FINAL,WD
63919,20170201,1,FINAL,WD
63896,20170201,1,FINAL,WD
63897,20170201,1,FINAL,WD
64032,20170201,1,PRODUCTION,WD
63953,20170201,1,Schedule #105,WD
63917,20170202,1,FINAL,WD
63898,20170202,1,FINAL,WD
63893,20170202,1,FINAL,WD
63919,20170202,1,FINAL,WD
63896,20170202,1,FINAL,WD
63897,20170202,1,FINAL,WD
64032,20170202,1,PRODUCTION,WD
63953,20170202,1,Schedule #105,WD
63917,20170203,1,FINAL,WD
63898,20170203,1,FINAL,WD
63893,20170203,1,FINAL,WD
63919,20170203,1,FINAL,WD
63896,20170203,1,FINAL,WD
63897,20170203,1,FINAL,WD
64032,20170203,1,PRODUCTION,WD
63953,20170203,1,Schedule #105,WD
63918,20170204,1,FINAL,SA
63894,20170204,1,FINAL,SA
63920,20170204,1,FINAL,SA
64033,20170204,1,PRODUCTION,SA
63954,20170204,1,Schedule #105,SA
63895,20170205,1,FINAL,SU
63921,20170205,1,FINAL,SU
64034,20170205,1,PRODUCTION,SU
63955,20170205,1,Schedule #105,SU
63917,20170206,1,FINAL,WD
63898,20170206,1,FINAL,WD
63893,20170206,1,FINAL,WD
63919,20170206,1,FINAL,WD
63896,20170206,1,FINAL,WD
63897,20170206,1,FINAL,WD
64032,20170206,1,PRODUCTION,WD
63953,20170206,1,Schedule #105,WD
63917,20170207,1,FINAL,WD
63898,20170207,1,FINAL,WD
63893,20170207,1,FINAL,WD
63919,20170207,1,FINAL,WD
63896,20170207,1,FINAL,WD
63897,20170207,1,FINAL,WD
64032,20170207,1,PRODUCTION,WD
63953,20170207,1,Schedule #105,WD
63917,20170208,1,FINAL,WD
63898,20170208,1,FINAL,WD
63893,20170208,1,FINAL,WD
63919,20170208,1,FINAL,WD
63896,20170208,1,FINAL,WD
63897,20170208,1,FINAL,WD
64032,20170208,1,PRODUCTION,WD
63953,20170208,1,Schedule #105,WD
63917,20170209,1,FINAL,WD
63898,20170209,1,FINAL,WD
63893,20170209,1,FINAL,WD
63919,20170209,1,FINAL,WD
63896,20170209,1,FINAL,WD
63897,20170209,1,FINAL,WD
64032,20170209,1,PRODUCTION,WD
63953,20170209,1,Schedule #105,WD
63917,20170210,1,FINAL,WD
63898,20170210,1,FINAL,WD
63893,20170210,1,FINAL,WD
63919,20170210,1,FINAL,WD
63896,20170210,1,FINAL,WD
63897,20170210,1,FINAL,WD
64032,20170210,1,PRODUCTION,WD
63953,20170210,1,Schedule #105,WD
63918,20170211,1,FINAL,SA
63894,20170211,1,FINAL,SA
63920,20170211,1,FINAL,SA
64033,20170211,1,PRODUCTION,SA
63954,20170211,1,Schedule #105,SA
63895,20170212,1,FINAL,SU
63921,20170212,1,FINAL,SU
64034,20170212,1,PRODUCTION,SU
63955,20170212,1,Schedule #105,SU
63917,20170213,1,FINAL,WD
63898,20170213,1,FINAL,WD
63893,20170213,1,FINAL,WD
63919,20170213,1,FINAL,WD
63896,20170213,1,FINAL,WD
63897,20170213,1,FINAL,WD
64032,20170213,1,PRODUCTION,WD
63953,20170213,1,Schedule #105,WD
63917,20170214,1,FINAL,WD
63898,20170214,1,FINAL,WD
63893,20170214,1,FINAL,WD
63919,20170214,1,FINAL,WD
63896,20170214,1,FINAL,WD
63897,20170214,1,FINAL,WD
64032,20170214,1,PRODUCTION,WD
63953,20170214,1,Schedule #105,WD
63917,20170215,1,FINAL,WD
63898,20170215,1,FINAL,WD
63893,20170215,1,FINAL,WD
63919,20170215,1,FINAL,WD
63896,20170215,1,FINAL,WD
63897,20170215,1,FINAL,WD
64032,20170215,1,PRODUCTION,WD
63953,20170215,1,Schedule #105,WD
63917,20170216,1,FINAL,WD
63898,20170216,1,FINAL,WD
63893,20170216,1,FINAL,WD
63919,20170216,1,FINAL,WD
63896,20170216,1,FINAL,WD
63897,20170216,1,FINAL,WD
64032,20170216,1,PRODUCTION,WD
63953,20170216,1,Schedule #105,WD
63917,20170217,1,FINAL,WD
63898,20170217,1,FINAL,WD
63893,20170217,1,FINAL,WD
63919,20170217,1,FINAL,WD
63896,20170217,1,FINAL,WD
63897,20170217,1,FINAL,WD
64032,20170217,1,PRODUCTION,WD
63953,20170217,1,Schedule #105,WD
63918,20170218,1,FINAL,SA
63894,20170218,1,FINAL,SA
63920,20170218,1,FINAL,SA
64033,20170218,1,PRODUCTION,SA
63954,20170218,1,Schedule #105,SA
63895,20170219,1,FINAL,SU
63921,20170219,1,FINAL,SU
64034,20170219,1,PRODUCTION,SU
63955,20170219,1,Schedule #105,SU
64047,20170220,1,FINAL - Saturday Holiday 1,ERRdow
64049,20170220,1,FINAL - Saturday Holiday 1,ERRdow
64048,20170220,1,FINAL - Saturday Holiday 1,ERRdow
64036,20170220,1,PRODUCTION - SATURDAY HOLIDAY,ERRdow
63954,20170220,1,Schedule #105,SA
63917,20170221,1,FINAL,WD
63898,20170221,1,FINAL,WD
63893,20170221,1,FINAL,WD
63919,20170221,1,FINAL,WD
63896,20170221,1,FINAL,WD
63897,20170221,1,FINAL,WD
64032,20170221,1,PRODUCTION,WD
63953,20170221,1,Schedule #105,WD
63917,20170222,1,FINAL,WD
63898,20170222,1,FINAL,WD
63893,20170222,1,FINAL,WD
63919,20170222,1,FINAL,WD
63896,20170222,1,FINAL,WD
63897,20170222,1,FINAL,WD
64032,20170222,1,PRODUCTION,WD
63953,20170222,1,Schedule #105,WD
63917,20170223,1,FINAL,WD
63898,20170223,1,FINAL,WD
63893,20170223,1,FINAL,WD
63919,20170223,1,FINAL,WD
63896,20170223,1,FINAL,WD
63897,20170223,1,FINAL,WD
64032,20170223,1,PRODUCTION,WD
63953,20170223,1,Schedule #105,WD
63917,20170224,1,FINAL,WD
63898,20170224,1,FINAL,WD
63893,20170224,1,FINAL,WD
63919,20170224,1,FINAL,WD
63896,20170224,1,FINAL,WD
63897,20170224,1,FINAL,WD
64032,20170224,1,PRODUCTION,WD
63953,20170224,1,Schedule #105,WD
