route_id,service_id,trip_id,trip_headsign,direction_id,direction_name,block_id,shape_id,wheelchair_accessible,trip_bikes_allowed,trip_headsign_short
115,63917,11893750,"El Cajon Transit Ctr",0,East,11503,115_2_66,1,2,El Caj TC
115,63917,11893751,"El Cajon Transit Ctr",0,East,11502,115_2_65,1,2,El Caj TC
115,63917,11893752,"El Cajon Transit Ctr",0,East,11504,115_2_65,1,2,El Caj TC
115,63917,11893753,"El Cajon Transit Ctr",0,East,11501,115_2_65,1,2,El Caj TC
115,63917,11893754,"El Cajon Transit Ctr",0,East,11503,115_2_65,1,2,El Caj TC
115,63917,11893755,"El Cajon Transit Ctr",0,East,11502,115_2_65,1,2,El Caj TC
115,63917,11893756,"El Cajon Transit Ctr",0,East,11504,115_2_65,1,2,El Caj TC
115,63917,11893757,"El Cajon Transit Ctr",0,East,11501,115_2_65,1,2,El Caj TC
115,63917,11893758,"El Cajon Transit Ctr",0,East,11503,115_2_65,1,2,El Caj TC
115,63917,11893759,"El Cajon Transit Ctr",0,East,11502,115_2_65,1,2,El Caj TC
115,63917,11893760,"El Cajon Transit Ctr",0,East,11504,115_2_65,1,2,El Caj TC
115,63917,11893761,"El Cajon Transit Ctr",0,East,11501,115_2_65,1,2,El Caj TC
115,63917,11893762,"El Cajon Transit Ctr",0,East,11503,115_2_65,1,2,El Caj TC
115,63917,11893763,"El Cajon Transit Ctr",0,East,11502,115_2_65,1,2,El Caj TC
115,63917,11893764,"El Cajon Transit Ctr",0,East,11504,115_2_65,1,2,El Caj TC
115,63917,11893765,"El Cajon Transit Ctr",0,East,11501,115_2_65,1,2,El Caj TC
115,63917,11893766,"El Cajon Transit Ctr",0,East,11503,115_2_65,1,2,El Caj TC
115,63917,11893767,"El Cajon Transit Ctr",0,East,11502,115_2_65,1,2,El Caj TC
115,63917,11893768,"El Cajon Transit Ctr",0,East,11504,115_2_65,1,2,El Caj TC
115,63917,11893769,"El Cajon Transit Ctr",0,East,11501,115_2_65,1,2,El Caj TC
115,63917,11893770,"El Cajon Transit Ctr",0,East,11503,115_2_65,1,2,El Caj TC
115,63917,11893771,"El Cajon Transit Ctr",0,East,11502,115_2_65,1,2,El Caj TC
115,63917,11893772,"El Cajon Transit Ctr",0,East,11504,115_2_65,1,2,El Caj TC
115,63917,11893773,"El Cajon Transit Ctr",0,East,11501,115_2_65,1,2,El Caj TC
115,63917,11893774,"El Cajon Transit Ctr",0,East,11503,115_2_65,1,2,El Caj TC
115,63917,11893775,"El Cajon Transit Ctr",0,East,11504,115_2_65,1,2,El Caj TC
115,63917,11893776,"El Cajon Transit Ctr",0,East,11503,115_2_65,1,2,El Caj TC
115,63917,11893777,"El Cajon Transit Ctr",0,East,11504,115_2_65,1,2,El Caj TC
115,63917,11893778,"El Cajon Transit Ctr",0,East,81501,115_2_65,1,2,El Caj TC
115,63917,11893779,"SDSU",1,West,11502,115_3_61,1,2,SDSU
115,63917,11893722,"SDSU",1,West,11504,115_3_64,1,2,SDSU
115,63917,11893723,"SDSU",1,West,11501,115_3_64,1,2,SDSU
115,63917,11893724,"SDSU",1,West,11503,115_3_64,1,2,SDSU
115,63917,11893725,"SDSU",1,West,11502,115_3_64,1,2,SDSU
115,63917,11893726,"SDSU",1,West,11504,115_3_64,1,2,SDSU
115,63917,11893727,"SDSU",1,West,11501,115_3_64,1,2,SDSU
115,63917,11893728,"SDSU",1,West,11503,115_3_64,1,2,SDSU
115,63917,11893729,"SDSU",1,West,11502,115_3_64,1,2,SDSU
115,63917,11893730,"SDSU",1,West,11504,115_3_64,1,2,SDSU
115,63917,11893731,"SDSU",1,West,11501,115_3_64,1,2,SDSU
115,63917,11893732,"SDSU",1,West,11503,115_3_64,1,2,SDSU
115,63917,11893733,"SDSU",1,West,11502,115_3_64,1,2,SDSU
115,63917,11893734,"SDSU",1,West,11504,115_3_64,1,2,SDSU
115,63917,11893735,"SDSU",1,West,11501,115_3_64,1,2,SDSU
115,63917,11893736,"SDSU",1,West,11503,115_3_64,1,2,SDSU
115,63917,11893737,"SDSU",1,West,11502,115_3_64,1,2,SDSU
115,63917,11893738,"SDSU",1,West,11504,115_3_64,1,2,SDSU
115,63917,11893739,"SDSU",1,West,11501,115_3_64,1,2,SDSU
115,63917,11893740,"SDSU",1,West,11503,115_3_64,1,2,SDSU
115,63917,11893741,"SDSU",1,West,11502,115_3_64,1,2,SDSU
115,63917,11893742,"SDSU",1,West,11504,115_3_64,1,2,SDSU
115,63917,11893743,"SDSU",1,West,11501,115_3_64,1,2,SDSU
115,63917,11893744,"SDSU",1,West,11503,115_3_64,1,2,SDSU
115,63917,11893745,"SDSU",1,West,11502,115_3_64,1,2,SDSU
115,63917,11893746,"SDSU",1,West,11504,115_3_64,1,2,SDSU
115,63917,11893747,"SDSU",1,West,11503,115_3_64,1,2,SDSU
115,63917,11893748,"SDSU",1,West,11504,115_3_64,1,2,SDSU
115,63917,11893749,"SDSU",1,West,81501,115_3_64,1,2,SDSU
815,63917,11893690,"Broadway & E. Main",0,East,81501,815_2_16,1,2,Brdwy&E. Main
815,63917,11893691,"Broadway & E. Main",0,East,81501,815_2_16,1,2,Brdwy&E. Main
815,63917,11893692,"Broadway & E. Main",0,East,81502,815_2_16,1,2,Brdwy&E. Main
815,63917,11893693,"Broadway & E. Main",0,East,81501,815_2_16,1,2,Brdwy&E. Main
815,63917,11893694,"Broadway & E. Main",0,East,81502,815_2_16,1,2,Brdwy&E. Main
815,63917,11893695,"Broadway & E. Main",0,East,81501,815_2_16,1,2,Brdwy&E. Main
815,63917,11893696,"Broadway & E. Main",0,East,81502,815_2_16,1,2,Brdwy&E. Main
815,63917,11893697,"Broadway & E. Main",0,East,81501,815_2_16,1,2,Brdwy&E. Main
815,63917,11893698,"Broadway & E. Main",0,East,81502,815_2_16,1,2,Brdwy&E. Main
815,63917,11893699,"Broadway & E. Main",0,East,81501,815_2_16,1,2,Brdwy&E. Main
815,63917,11893700,"Broadway & E. Main",0,East,81502,815_2_16,1,2,Brdwy&E. Main
815,63917,11893701,"Broadway & E. Main",0,East,81501,815_2_16,1,2,Brdwy&E. Main
815,63917,11893702,"Broadway & E. Main",0,East,81502,815_2_16,1,2,Brdwy&E. Main
815,63917,11893703,"Broadway & E. Main",0,East,81501,815_2_16,1,2,Brdwy&E. Main
815,63917,11893704,"Broadway & E. Main",0,East,81502,815_2_16,1,2,Brdwy&E. Main
815,63917,11893705,"Broadway & E. Main",0,East,81501,815_2_16,1,2,Brdwy&E. Main
815,63917,11893706,"Broadway & E. Main",0,East,81502,815_2_16,1,2,Brdwy&E. Main
815,63917,11893707,"Broadway & E. Main",0,East,81501,815_2_16,1,2,Brdwy&E. Main
815,63917,11893708,"Broadway & E. Main",0,East,81502,815_2_16,1,2,Brdwy&E. Main
815,63917,11893709,"Broadway & E. Main",0,East,81501,815_2_16,1,2,Brdwy&E. Main
815,63917,11893710,"Broadway & E. Main",0,East,81502,815_2_16,1,2,Brdwy&E. Main
815,63917,11893711,"Broadway & E. Main",0,East,81501,815_2_16,1,2,Brdwy&E. Main
815,63917,11893712,"Broadway & E. Main",0,East,81502,815_2_16,1,2,Brdwy&E. Main
815,63917,11893713,"Broadway & E. Main",0,East,81501,815_2_16,1,2,Brdwy&E. Main
815,63917,11893714,"Broadway & E. Main",0,East,81502,815_2_16,1,2,Brdwy&E. Main
815,63917,11893715,"Broadway & E. Main",0,East,81501,815_2_16,1,2,Brdwy&E. Main
815,63917,11893716,"Broadway & E. Main",0,East,81501,815_2_16,1,2,Brdwy&E. Main
815,63917,11893661,"Broadway & E. Main",0,East,86402,815_2_16,1,2,Brdwy&E. Main
815,63917,11893717,"El Cajon Transit Ctr",1,West,81501,815_3_17,1,2,El Caj TC
815,63917,11893662,"El Cajon Transit Ctr",1,West,11501,815_3_17,1,2,El Caj TC
815,63917,11893663,"El Cajon Transit Ctr",1,West,81501,815_3_17,1,2,El Caj TC
815,63917,11893664,"El Cajon Transit Ctr",1,West,81502,815_3_17,1,2,El Caj TC
815,63917,11893665,"El Cajon Transit Ctr",1,West,81501,815_3_17,1,2,El Caj TC
815,63917,11893666,"El Cajon Transit Ctr",1,West,81502,815_3_17,1,2,El Caj TC
815,63917,11893667,"El Cajon Transit Ctr",1,West,81501,815_3_17,1,2,El Caj TC
815,63917,11893668,"El Cajon Transit Ctr",1,West,81502,815_3_17,1,2,El Caj TC
